As_of_Date_In_Form_YYMMDD,Market_and_Exchange_Names,CFTC_Contract_Market_Code,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Net_Dealer,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Net_AssetManager,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Net_LevFunds,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Net_OtherReport,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Net_NonReport
250715,MSCI EM INDEX - ICE FUTURES U.S.,244042,66768,639404,15288,-572636,716835,233729,94918,483106,148682,81451,5101,67231,25485,26572,2733,-1087,53133,29747,23386
250708,MSCI EM INDEX - ICE FUTURES U.S.,244042,65884,646594,14792,-580710,711505,229333,92895,482172,146845,79673,6218,67172,26217,21261,1927,4956,52888,26478,26410
250701,MSCI EM INDEX - ICE FUTURES U.S.,244042,71693,643895,14442,-572202,701714,218681,90928,483033,139459,84237,5814,55222,30591,19666,1965,10925,47991,24969,23022
250624,MSCI EM INDEX - ICE FUTURES U.S.,244042,68936,650250,14194,-581314,688671,194788,87259,493883,139738,87871,4518,51867,37603,23969,2086,13634,41724,19794,21930
250617,MSCI EM INDEX - ICE FUTURES U.S.,244042,78497,560803,207993,-482306,695659,193873,91951,501786,138068,146185,23828,-8117,37589,62346,3246,-24757,49242,35848,13394
250610,MSCI EM INDEX - ICE FUTURES U.S.,244042,80840,567546,15351,-486706,638818,188264,86668,450554,158432,132828,9204,25604,59716,68168,1565,-8452,50701,31701,19000
250603,MSCI EM INDEX - ICE FUTURES U.S.,244042,87424,586502,15715,-499078,641571,179922,91941,461649,148553,134157,8407,14396,65466,60293,1651,5173,48829,30969,17860
250527,MSCI EM INDEX - ICE FUTURES U.S.,244042,88455,595897,14728,-507442,652639,184655,93579,467984,130418,152230,6588,-21812,54846,11974,1362,42872,40391,21993,18398
250520,MSCI EM INDEX - ICE FUTURES U.S.,244042,90027,590357,14779,-500330,650179,187400,92473,462779,120499,153116,6073,-32617,65190,10879,2117,54311,39541,23684,15857
250513,MSCI EM INDEX - ICE FUTURES U.S.,244042,87236,594226,14494,-506990,621611,179163,97012,442448,116295,140185,6662,-23890,82629,11213,2114,71416,38374,21358,17016
250506,MSCI EM INDEX - ICE FUTURES U.S.,244042,89228,586803,13599,-497575,624669,171913,100911,452756,116327,146604,6072,-30277,67602,10836,2088,56766,39708,21378,18330
250429,MSCI EM INDEX - ICE FUTURES U.S.,244042,78747,583673,13420,-504926,621956,154589,100368,467367,123511,159398,6052,-35887,90384,27635,2190,62749,34244,23547,10697
250422,MSCI EM INDEX - ICE FUTURES U.S.,244042,76230,594104,13472,-517874,619754,164135,99120,455619,123882,144840,6558,-20958,100610,29041,2438,71569,30766,19122,11644
250415,MSCI EM INDEX - ICE FUTURES U.S.,244042,67642,603541,13672,-535899,666118,170765,97760,495353,128292,145727,5364,-17435,75906,29929,2401,45977,28352,16348,12004
250408,MSCI EM INDEX - ICE FUTURES U.S.,244042,70437,608671,13653,-538234,648446,147770,99671,500676,116887,144270,5649,-27383,100481,41364,3310,59117,27795,21971,5824
250401,MSCI EM INDEX - ICE FUTURES U.S.,244042,58191,587982,20337,-529791,668614,136117,98479,532497,115412,165792,5430,-50380,66371,37986,3135,28385,33771,14482,19289
250325,MSCI EM INDEX - ICE FUTURES U.S.,244042,65688,594084,20975,-528396,653128,140886,96953,512242,120307,157896,4405,-37589,69141,35261,2666,33880,33163,13300,19863
250318,MSCI EM INDEX - ICE FUTURES U.S.,244042,82840,584624,265059,-501784,650378,159636,112433,490742,119865,138421,14199,-18556,36607,34765,54006,1842,67883,40127,27756
250311,MSCI EM INDEX - ICE FUTURES U.S.,244042,79870,587681,57542,-507811,630408,169166,107487,461242,116399,111289,5282,5110,45410,21647,3239,23763,30891,13195,17696
250304,MSCI EM INDEX - ICE FUTURES U.S.,244042,84143,591791,40163,-507648,648708,167525,99580,481183,121099,120916,5858,183,39015,29078,3104,9937,29788,13443,16345
250225,MSCI EM INDEX - ICE FUTURES U.S.,244042,86935,577434,39182,-490499,649576,172495,102454,477081,121593,135877,6337,-14284,48261,37625,3785,10636,29373,12307,17066
250218,MSCI EM INDEX - ICE FUTURES U.S.,244042,78422,567260,24244,-488838,639823,194047,93326,445776,112305,112713,8196,-408,70960,40570,2900,30390,27097,14017,13080
250211,MSCI EM INDEX - ICE FUTURES U.S.,244042,77152,560425,27076,-483273,619969,208210,97794,411759,111040,89987,8586,21053,74929,38208,3273,36721,27760,14020,13740
250204,MSCI EM INDEX - ICE FUTURES U.S.,244042,69866,576372,27745,-506506,642567,215984,97956,426583,116915,79074,10071,37841,65514,35732,3127,29782,26411,14111,12300
250128,MSCI EM INDEX - ICE FUTURES U.S.,244042,75958,569741,29973,-493783,653501,222276,94876,431225,117025,84945,10440,32080,65760,45100,3839,20660,25143,15325,9818
250121,MSCI EM INDEX - ICE FUTURES U.S.,244042,71498,569251,30488,-497753,660837,224839,94263,435998,114717,96709,10264,18008,76073,44543,4026,31530,26383,14166,12217
250114,MSCI EM INDEX - ICE FUTURES U.S.,244042,71845,589335,32208,-517490,671646,213502,93416,458144,108986,99814,9413,9172,74473,35969,4009,38504,26865,15195,11670
250107,MSCI EM INDEX - ICE FUTURES U.S.,244042,69700,639889,21699,-570189,666793,186335,90644,480458,121499,82643,7797,38856,74061,35866,4022,38195,27480,14800,12680
250729,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,33874A,6988,11161,106,-4173,17034,17032,1727,2,3480,2600,41,880,426,0,0,426,7547,4682,2865
250722,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,33874A,5810,9933,2,-4123,17768,17505,1581,263,2532,2181,41,351,0,0,0,0,8343,4834,3509
250715,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,33874A,5623,8764,2,-3141,16863,16786,1726,77,2560,3099,49,-539,0,362,0,-362,8583,4618,3965
250708,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,33874A,5605,7753,1,-2148,17638,17122,1514,516,2334,2548,124,-214,0,879,0,-879,8199,5474,2725
250701,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,33874A,5750,6102,16,-352,17049,17684,1765,-635,2345,2942,92,-597,0,1031,0,-1031,7893,5278,2615
250624,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,33874A,5566,5149,1,417,17870,20117,1624,-2247,3428,2815,41,613,0,496,0,-496,6996,5283,1713
250617,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,33874A,6556,5939,2395,617,18155,20735,1880,-2580,2647,3003,41,-356,293,0,0,293,7541,5515,2026
250610,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,33874A,8041,5841,141,2200,16407,20025,1924,-3618,2327,2535,0,-208,283,0,0,283,7218,5875,1343
250603,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,33874A,8407,5631,122,2776,16921,20809,1998,-3888,2575,2560,217,15,230,0,0,230,6463,5596,867
250527,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,33874A,9393,6143,111,3250,17846,21575,2108,-3729,2324,3283,146,-959,230,0,0,230,6992,5784,1208
250520,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,33874A,11206,6146,107,5060,16735,21679,1989,-4944,1952,3186,56,-1234,0,0,0,0,7521,6403,1118
250513,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,33874A,12159,5155,90,7004,15180,22750,2141,-7570,2543,3359,41,-816,0,0,0,0,7384,6002,1382
250506,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,33874A,12603,4820,90,7783,14992,24283,2492,-9291,2404,3265,184,-861,0,499,0,-499,8278,5410,2868
250429,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,33874A,13599,5001,145,8598,14560,26460,3015,-11900,4120,3285,258,835,0,0,0,0,8007,5540,2467
250422,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,33874A,14095,5071,226,9024,17850,30239,2323,-12389,3960,3731,143,229,0,0,0,0,8015,4879,3136
250415,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,33874A,14734,5068,176,9666,16831,31520,2310,-14689,4685,3926,110,759,0,0,0,0,8821,4557,4264
250408,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,33874A,13058,5246,17,7812,18446,32624,2079,-14178,6237,3496,93,2741,700,0,0,700,8271,5346,2925
250401,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,33874A,5869,5365,84,504,21676,24851,1781,-3175,2800,2284,295,516,0,0,0,0,7990,5835,2155
250325,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,33874A,6887,8321,0,-1434,22145,23914,1870,-1769,2663,2072,267,591,733,0,0,733,8029,6150,1879
250318,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,33874A,4277,7092,5568,-2815,22437,24818,2179,-2381,4328,1660,172,2668,344,0,243,344,8829,6645,2184
250311,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,33874A,5358,9271,30,-3913,22130,24136,2470,-2006,4185,1083,237,3102,299,0,0,299,9102,6584,2518
250304,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,33874A,4916,11136,0,-6220,21670,22598,2332,-928,4032,1184,187,2848,0,0,0,0,9497,5197,4300
250225,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,33874A,4615,12769,43,-8154,21325,21160,2585,165,3882,1035,43,2847,610,0,0,610,9468,4936,4532
250218,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,33874A,4547,13771,33,-9224,22197,20451,2979,1746,2550,1207,322,1343,1265,291,0,974,9664,4503,5161
250211,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,33874A,4349,12836,34,-8487,22261,21162,2572,1099,2652,1389,120,1263,1030,0,0,1030,9553,4458,5095
250204,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,33874A,4349,13572,36,-9223,21561,20239,2524,1322,2386,1561,119,825,1025,0,0,1025,10445,4394,6051
250128,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,33874A,4515,15838,37,-11323,24370,19752,1962,4618,2613,1242,63,1371,1020,434,0,586,9255,4507,4748
250121,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,33874A,4423,17140,37,-12717,25837,19158,2790,6679,2506,945,20,1561,1020,257,0,763,8815,5101,3714
250114,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,33874A,4608,17365,36,-12757,25432,19795,2625,5637,2594,704,0,1890,1020,0,0,1020,8934,4724,4210
250107,E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,33874A,4552,19339,37,-14787,27954,20007,2428,7947,2715,950,42,1765,610,0,0,610,8777,4312,4465
250729,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,43874A,26721,227116,13961,-200395,83361,81,3116,83280,143269,36766,17080,106503,13573,6795,329,6778,4630,796,3834
250722,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,43874A,26528,224182,13985,-197654,82975,297,3445,82678,141143,33621,17297,107522,13549,9162,329,4387,3814,747,3067
250715,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,43874A,27079,220318,14178,-193239,82836,297,3445,82539,136025,32696,17973,103329,13500,9162,329,4338,3851,818,3033
250708,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,43874A,26702,216436,14166,-189734,82755,668,3546,82087,133339,33195,19202,100144,13396,9162,329,4234,4016,747,3269
250701,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,43874A,27930,215670,13666,-187740,82779,547,3561,82232,132393,34536,18853,97857,13358,9162,329,4196,4096,641,3455
250624,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,43874A,28101,214030,13646,-185929,82379,547,3698,81832,131657,35382,18343,96275,13251,9162,329,4089,4364,631,3733
250617,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,43874A,28064,213543,13091,-185479,82313,547,3698,81766,130826,34939,18072,95887,13144,9162,329,3982,4460,616,3844
250610,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,43874A,28130,211723,12268,-183593,82142,620,3704,81522,132311,36429,18902,95882,13162,9162,329,4000,4135,1946,2189
250603,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,43874A,28104,213835,12235,-185731,82040,409,3704,81631,132044,36757,19329,95287,14326,9162,329,5164,4286,637,3649
250527,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,43874A,26313,209263,12216,-182950,82015,288,3541,81727,129540,37007,19183,92533,14193,9162,410,5031,4330,671,3659
250520,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,43874A,24978,207155,12541,-182177,81973,288,3541,81685,128867,36870,19030,91997,14087,9162,410,4925,4717,1147,3570
250513,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,43874A,26455,205678,12527,-179223,82397,0,2824,82397,123815,36073,19936,87742,12814,9162,210,3652,6000,568,5432
250506,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,43874A,27194,201673,12397,-174479,82343,0,2824,82343,122019,36738,21836,85281,12295,9242,210,3053,4453,651,3802
250429,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,43874A,26203,198066,12265,-171863,82828,0,3153,82828,118717,35862,22863,82855,12182,9242,321,2940,4157,917,3240
250422,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,43874A,27832,193534,14593,-165702,84890,0,3671,84890,109814,34549,26469,75265,12009,9242,321,2767,3783,1003,2780
250415,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,43874A,28486,190962,15009,-162476,86141,0,3289,86141,107528,34893,26239,72635,9926,9242,315,684,3941,925,3016
250408,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,43874A,24071,188714,15315,-164643,82676,0,3289,82676,109280,30891,24401,78389,9887,9242,349,645,3797,864,2933
250401,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,43874A,18679,200796,16067,-182117,89468,0,3270,89468,115543,28482,23328,87061,11276,9242,0,2034,3999,445,3554
250325,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,43874A,16208,199910,15441,-183702,89250,0,3185,89250,116688,27058,21375,89630,10879,9242,0,1637,3899,714,3185
250318,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,43874A,16938,193731,14473,-176793,88677,0,3099,88677,111323,27657,19693,83666,10810,9242,0,1568,3588,706,2882
250311,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,43874A,19294,192885,12586,-173591,90760,0,3113,90760,104052,25749,18402,78303,10762,9242,0,1520,3695,687,3008
250304,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,43874A,18633,190496,14420,-171863,88704,0,3113,88704,104100,25575,17034,78525,10448,9242,0,1206,4113,685,3428
250225,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,43874A,19642,187719,15042,-168077,86793,0,3326,86793,101421,24761,14526,76660,10871,9242,0,1629,3712,717,2995
250218,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,43874A,19298,186312,14842,-167014,86679,0,3326,86679,100633,24800,15080,75833,10765,9242,0,1523,3706,727,2979
250211,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,43874A,18807,182990,15314,-164183,84896,0,3328,84896,99420,24880,13841,74540,10908,9242,0,1666,3759,678,3081
250204,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,43874A,20789,183347,15227,-162558,85070,0,3328,85070,99570,26443,10946,73127,10783,9242,0,1541,3475,655,2820
250128,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,43874A,22686,177312,13996,-154626,85409,0,3178,85409,93547,28725,10632,64822,10815,9242,0,1573,3609,787,2822
250121,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,43874A,22453,173600,13160,-151147,84598,0,3178,84598,91305,28246,12282,63059,10534,9242,0,1292,3032,834,2198
250114,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,43874A,22186,172586,12879,-150400,84548,0,3178,84548,90358,27947,11228,62411,10115,9242,0,873,3331,763,2568
250107,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,43874A,20998,169345,12642,-148347,83485,0,3178,83485,89004,27888,10189,61116,10281,9242,0,1039,3446,739,2707
250729,S&P 500 QUARTERLY DIVIDEND IND - CHICAGO MERCANTILE EXCHANGE,43874Q,4334,15660,3955,-11326,2230,0,0,2230,33731,25258,118,8473,605,0,0,605,19,1,18
250722,S&P 500 QUARTERLY DIVIDEND IND - CHICAGO MERCANTILE EXCHANGE,43874Q,4334,16237,3740,-11903,2230,0,0,2230,33650,24596,118,9054,601,0,0,601,19,1,18
250715,S&P 500 QUARTERLY DIVIDEND IND - CHICAGO MERCANTILE EXCHANGE,43874Q,4424,16051,3590,-11627,2229,0,0,2229,33250,24470,118,8780,600,0,0,600,19,1,18
250708,S&P 500 QUARTERLY DIVIDEND IND - CHICAGO MERCANTILE EXCHANGE,43874Q,4839,17680,1374,-12841,2229,0,0,2229,32692,22690,118,10002,600,0,0,600,19,9,10
250701,S&P 500 QUARTERLY DIVIDEND IND - CHICAGO MERCANTILE EXCHANGE,43874Q,4169,17645,1988,-13476,2229,0,0,2229,32930,22293,22,10637,600,0,0,600,19,9,10
250624,S&P 500 QUARTERLY DIVIDEND IND - CHICAGO MERCANTILE EXCHANGE,43874Q,4238,15356,844,-11118,2229,0,0,2229,29722,21348,22,8374,500,0,0,500,19,4,15
250617,S&P 500 QUARTERLY DIVIDEND IND - CHICAGO MERCANTILE EXCHANGE,43874Q,4074,27126,2415,-23052,2499,0,0,2499,45243,25142,920,20101,500,41,0,459,25,32,-7
250610,S&P 500 QUARTERLY DIVIDEND IND - CHICAGO MERCANTILE EXCHANGE,43874Q,3056,24314,2667,-21258,2404,0,0,2404,43454,25058,920,18396,500,41,0,459,20,21,-1
250603,S&P 500 QUARTERLY DIVIDEND IND - CHICAGO MERCANTILE EXCHANGE,43874Q,2466,22760,2296,-20294,2404,0,0,2404,41261,23830,939,17431,500,41,0,459,20,20,0
250527,S&P 500 QUARTERLY DIVIDEND IND - CHICAGO MERCANTILE EXCHANGE,43874Q,2466,22010,2326,-19544,2404,0,0,2404,40065,23384,919,16681,500,41,0,459,20,20,0
250520,S&P 500 QUARTERLY DIVIDEND IND - CHICAGO MERCANTILE EXCHANGE,43874Q,2518,21261,2002,-18743,2404,0,0,2404,38950,23070,908,15880,500,41,0,459,20,20,0
250513,S&P 500 QUARTERLY DIVIDEND IND - CHICAGO MERCANTILE EXCHANGE,43874Q,2568,20994,2477,-18426,2404,0,0,2404,38575,23012,0,15563,500,41,0,459,20,20,0
250506,S&P 500 QUARTERLY DIVIDEND IND - CHICAGO MERCANTILE EXCHANGE,43874Q,2608,20584,2629,-17976,2404,0,0,2404,37999,22886,70,15113,500,41,0,459,20,20,0
250429,S&P 500 QUARTERLY DIVIDEND IND - CHICAGO MERCANTILE EXCHANGE,43874Q,2864,20583,2659,-17719,2404,0,0,2404,37339,22515,85,14824,532,41,0,491,20,20,0
250422,S&P 500 QUARTERLY DIVIDEND IND - CHICAGO MERCANTILE EXCHANGE,43874Q,2854,20915,2704,-18061,2404,0,0,2404,34770,19647,144,15123,575,41,0,534,20,20,0
250415,S&P 500 QUARTERLY DIVIDEND IND - CHICAGO MERCANTILE EXCHANGE,43874Q,2754,20440,2818,-17686,2404,0,0,2404,33791,19058,198,14733,590,41,0,549,20,20,0
250408,S&P 500 QUARTERLY DIVIDEND IND - CHICAGO MERCANTILE EXCHANGE,43874Q,2099,19630,3740,-17531,2404,0,0,2404,30879,16725,858,14154,1051,41,0,1010,20,57,-37
250401,S&P 500 QUARTERLY DIVIDEND IND - CHICAGO MERCANTILE EXCHANGE,43874Q,1960,19545,3445,-17585,2444,0,0,2444,28481,14532,892,13949,1206,0,0,1206,0,14,-14
250325,S&P 500 QUARTERLY DIVIDEND IND - CHICAGO MERCANTILE EXCHANGE,43874Q,1350,17775,3405,-16425,2444,0,0,2444,26624,13796,903,12828,1167,0,0,1167,0,14,-14
250318,S&P 500 QUARTERLY DIVIDEND IND - CHICAGO MERCANTILE EXCHANGE,43874Q,255,27958,4632,-27703,13209,0,0,13209,28179,15544,3019,12635,1373,0,0,1373,500,14,486
250311,S&P 500 QUARTERLY DIVIDEND IND - CHICAGO MERCANTILE EXCHANGE,43874Q,445,23684,3286,-23239,13169,0,0,13169,23066,14361,3034,8705,1365,0,0,1365,0,0,0
250304,S&P 500 QUARTERLY DIVIDEND IND - CHICAGO MERCANTILE EXCHANGE,43874Q,255,20677,3388,-20422,13169,0,0,13169,20802,14652,1614,6150,1103,0,0,1103,0,0,0
250225,S&P 500 QUARTERLY DIVIDEND IND - CHICAGO MERCANTILE EXCHANGE,43874Q,255,24368,5238,-24113,13169,0,0,13169,24755,14890,1211,9865,1079,0,0,1079,0,0,0
250218,S&P 500 QUARTERLY DIVIDEND IND - CHICAGO MERCANTILE EXCHANGE,43874Q,255,20921,3340,-20666,9319,0,0,9319,24428,14143,1212,10285,1062,0,0,1062,0,0,0
250211,S&P 500 QUARTERLY DIVIDEND IND - CHICAGO MERCANTILE EXCHANGE,43874Q,2036,20441,2309,-18405,6554,0,0,6554,25213,14418,1214,10795,1056,0,0,1056,0,0,0
250204,S&P 500 QUARTERLY DIVIDEND IND - CHICAGO MERCANTILE EXCHANGE,43874Q,2866,19653,1709,-16787,5154,0,0,5154,25545,14439,1265,11106,527,0,0,527,0,0,0
250128,S&P 500 QUARTERLY DIVIDEND IND - CHICAGO MERCANTILE EXCHANGE,43874Q,2814,19653,1509,-16839,4300,0,0,4300,26636,14557,1088,12079,460,0,0,460,0,0,0
250121,S&P 500 QUARTERLY DIVIDEND IND - CHICAGO MERCANTILE EXCHANGE,43874Q,3064,19312,1509,-16248,4200,0,0,4200,25369,13781,1188,11588,460,0,0,460,0,0,0
250114,S&P 500 QUARTERLY DIVIDEND IND - CHICAGO MERCANTILE EXCHANGE,43874Q,3364,16712,1159,-13348,4200,0,0,4200,22318,13370,1243,8948,200,0,0,200,0,0,0
250107,S&P 500 QUARTERLY DIVIDEND IND - CHICAGO MERCANTILE EXCHANGE,43874Q,3260,15285,740,-12025,4200,0,0,4200,21055,13230,706,7825,0,0,0,0,0,0,0
250729,UST BOND - CHICAGO BOARD OF TRADE,020601,9495,190027,8653,-180532,1112178,595243,209212,516935,93324,523061,28157,-429737,92456,98444,1129,-5988,245202,145880,99322
250722,UST BOND - CHICAGO BOARD OF TRADE,020601,16927,192724,11390,-175797,1100148,595146,215779,505002,87110,493931,31746,-406821,94783,106289,828,-11506,234183,145061,89122
250715,UST BOND - CHICAGO BOARD OF TRADE,020601,23245,192222,11567,-168977,1123130,576737,219045,546393,76363,519270,37577,-442907,86976,97721,787,-10745,226498,150262,76236
250708,UST BOND - CHICAGO BOARD OF TRADE,020601,17588,233589,4511,-216001,1154211,585505,217012,568706,91132,518809,30922,-427677,94454,97191,696,-2737,226683,148974,77709
250701,UST BOND - CHICAGO BOARD OF TRADE,020601,12822,237495,7971,-224673,1130639,585186,216926,545453,90019,505529,30819,-415510,86222,97656,1094,-11434,237047,130883,106164
250624,UST BOND - CHICAGO BOARD OF TRADE,020601,15786,224221,7309,-208435,1098500,537547,208144,560953,77609,522543,23209,-444934,101451,97202,4147,4249,236647,148480,88167
250617,UST BOND - CHICAGO BOARD OF TRADE,020601,18510,226738,6470,-208228,1077213,528717,202515,548496,80861,497953,16098,-417092,103455,120022,4265,-16567,233575,140184,93391
250610,UST BOND - CHICAGO BOARD OF TRADE,020601,17172,201999,5597,-184827,1074794,527954,202982,546840,82858,516860,17507,-434002,94348,111607,4070,-17259,229114,139866,89248
250603,UST BOND - CHICAGO BOARD OF TRADE,020601,16481,188967,7593,-172486,1087503,514401,210644,573102,91692,573327,22128,-481635,96626,103278,3049,-6652,228215,140544,87671
250527,UST BOND - CHICAGO BOARD OF TRADE,020601,21951,205957,20786,-184006,1110225,546357,229168,563868,69785,563700,61120,-493915,102889,98479,5075,4410,278158,168515,109643
250520,UST BOND - CHICAGO BOARD OF TRADE,020601,23219,175557,11597,-152338,1130324,522396,221698,607928,53881,613832,59120,-559951,114315,101921,2771,12394,235851,143884,91967
250513,UST BOND - CHICAGO BOARD OF TRADE,020601,26381,185435,11039,-159054,1145831,526506,214173,619325,47874,613903,44815,-566029,105452,97900,3388,7552,230861,132655,98206
250506,UST BOND - CHICAGO BOARD OF TRADE,020601,23699,197744,6844,-174045,1143209,515035,213477,628174,53146,616434,26020,-563288,102725,92059,3367,10666,230957,132464,98493
250429,UST BOND - CHICAGO BOARD OF TRADE,020601,25691,213503,6061,-187812,1153710,528228,208047,625482,54567,599491,27263,-544924,101866,88021,1768,13845,225910,132501,93409
250422,UST BOND - CHICAGO BOARD OF TRADE,020601,22448,164427,5097,-141979,1165429,509464,215289,655965,70220,661174,23441,-590954,92337,92877,1423,-540,214303,136795,77508
250415,UST BOND - CHICAGO BOARD OF TRADE,020601,23103,146091,4742,-122988,1155160,535206,209658,619954,84161,668124,16874,-583963,96849,92438,2122,4411,213725,131139,82586
250408,UST BOND - CHICAGO BOARD OF TRADE,020601,25221,159329,4444,-134108,1089694,542035,224812,547659,134199,650186,29233,-515987,103479,99886,1722,3593,230900,132057,98843
250401,UST BOND - CHICAGO BOARD OF TRADE,020601,17275,161694,5613,-144419,1112338,552820,223754,559518,125707,631023,36459,-505316,96224,109547,218,-13323,229567,126027,103540
250325,UST BOND - CHICAGO BOARD OF TRADE,020601,22414,157376,3652,-134962,1099970,539865,213025,560105,134326,644289,30141,-509963,96345,110575,218,-14230,227483,128433,99050
250318,UST BOND - CHICAGO BOARD OF TRADE,020601,27986,138109,5606,-110123,1067550,548018,211019,519532,187828,681839,31999,-494011,88276,106770,219,-18494,230672,127576,103096
250311,UST BOND - CHICAGO BOARD OF TRADE,020601,32321,116185,10457,-83864,1067954,515230,205332,552724,194879,738210,29093,-543331,86390,106182,1499,-19792,226379,132116,94263
250304,UST BOND - CHICAGO BOARD OF TRADE,020601,21733,158001,13169,-136268,1082500,500092,205271,582408,228545,758698,58326,-530153,87436,103876,420,-16440,234473,134020,100453
